2026-03-17 19:19:38,949 - data.data_source - ERROR - 获取K线失败 511880: 'date'
2026-03-17 19:19:39,014 - data.data_source - ERROR - 获取K线失败 513090: 'date'
2026-03-17 19:19:39,074 - data.data_source - ERROR - 获取K线失败 512050: 'date'
2026-03-17 19:19:39,135 - data.data_source - ERROR - 获取K线失败 159352: 'date'
2026-03-17 19:19:39,192 - data.data_source - ERROR - 获取K线失败 513130: 'date'
2026-03-17 19:19:39,257 - data.data_source - ERROR - 获取K线失败 159338: 'date'
2026-03-17 19:19:39,318 - data.data_source - ERROR - 获取K线失败 511990: 'date'
2026-03-17 19:19:39,383 - data.data_source - ERROR - 获取K线失败 513310: 'date'
2026-03-17 19:19:39,443 - data.data_source - ERROR - 获取K线失败 513120: 'date'
2026-03-17 19:19:39,503 - data.data_source - ERROR - 获取K线失败 513180: 'date'
2026-03-17 19:19:39,574 - data.data_source - ERROR - 获取K线失败 160723: 'date'
2026-03-17 19:19:39,648 - data.data_source - ERROR - 获取K线失败 159981: 'date'
2026-03-17 19:19:39,719 - data.data_source - ERROR - 获取K线失败 159915: 'date'
2026-03-17 19:19:39,774 - data.data_source - ERROR - 获取K线失败 518880: 'date'
2026-03-17 19:19:39,849 - data.data_source - ERROR - 获取K线失败 513350: 'date'
2026-03-17 19:19:39,919 - data.data_source - ERROR - 获取K线失败 510300: 'date'
2026-03-17 19:19:39,989 - data.data_source - ERROR - 获取K线失败 513330: 'date'
2026-03-17 19:19:40,054 - data.data_source - ERROR - 获取K线失败 512880: 'date'
2026-03-17 19:19:40,112 - data.data_source - ERROR - 获取K线失败 159361: 'date'
2026-03-17 19:19:40,174 - data.data_source - ERROR - 获取K线失败 510500: 'date'
2026-03-17 23:38:09,781 - data.data_source - ERROR - 获取ETF列表失败: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:38:15,317 - data.data_source - ERROR - 获取LOF列表失败: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:38:59,286 - data.data_source - ERROR - 获取ETF列表失败: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:39:04,802 - data.data_source - ERROR - 获取LOF列表失败: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:39:14,631 - data.data_source - ERROR - 获取ETF/LOF K线失败 513100: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:39:20,920 - data.data_source - ERROR - 获取ETF/LOF K线失败 513100: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:39:26,640 - data.data_source - ERROR - 获取ETF/LOF K线失败 510300: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:39:32,770 - data.data_source - ERROR - 获取ETF/LOF K线失败 510300: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:39:39,083 - data.data_source - ERROR - 获取ETF/LOF K线失败 159919: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:39:45,550 - data.data_source - ERROR - 获取ETF/LOF K线失败 159919: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:39:51,578 - data.data_source - ERROR - 获取ETF/LOF K线失败 159995: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:39:57,304 - data.data_source - ERROR - 获取ETF/LOF K线失败 159995: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:40:03,671 - data.data_source - ERROR - 获取ETF/LOF K线失败 510500: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:47:12,788 - data.data_source - ERROR - 获取ETF列表失败: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:47:18,707 - data.data_source - ERROR - 获取LOF列表失败: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:47:24,761 - data.data_source - ERROR - 获取ETF/LOF K线失败 511880: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:47:30,651 - data.data_source - ERROR - 获取ETF/LOF K线失败 511880: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:47:37,053 - data.data_source - ERROR - 获取ETF/LOF K线失败 511010: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:47:43,241 - data.data_source - ERROR - 获取ETF/LOF K线失败 510500: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:47:50,118 - data.data_source - ERROR - 获取ETF/LOF K线失败 512880: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:47:55,569 - data.data_source - ERROR - 获取ETF/LOF K线失败 512880: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:48:01,747 - data.data_source - ERROR - 获取ETF/LOF K线失败 515000: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:48:07,295 - data.data_source - ERROR - 获取ETF/LOF K线失败 515000: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:48:13,577 - data.data_source - ERROR - 获取ETF/LOF K线失败 512690: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:48:19,773 - data.data_source - ERROR - 获取ETF/LOF K线失败 512690: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:48:25,068 - data.data_source - ERROR - 获取ETF/LOF K线失败 515790: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:48:31,915 - data.data_source - ERROR - 获取ETF/LOF K线失败 515790: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:48:37,699 - data.data_source - ERROR - 获取ETF/LOF K线失败 511660: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:48:43,812 - data.data_source - ERROR - 获取ETF/LOF K线失败 511660: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:48:49,978 - data.data_source - ERROR - 获取ETF/LOF K线失败 513050: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:48:56,000 - data.data_source - ERROR - 获取ETF/LOF K线失败 513050: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:49:02,080 - data.data_source - ERROR - 获取ETF/LOF K线失败 513100: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:49:08,339 - data.data_source - ERROR - 获取ETF/LOF K线失败 513100: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:49:13,958 - data.data_source - ERROR - 获取ETF/LOF K线失败 510300: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:49:19,496 - data.data_source - ERROR - 获取ETF/LOF K线失败 510300: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:49:25,068 - data.data_source - ERROR - 获取ETF/LOF K线失败 159919: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:49:30,680 - data.data_source - ERROR - 获取ETF/LOF K线失败 159919: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:49:36,063 - data.data_source - ERROR - 获取ETF/LOF K线失败 159995: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:49:42,065 - data.data_source - ERROR - 获取ETF/LOF K线失败 159995: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-17 23:49:47,667 - data.data_source - ERROR - 获取ETF/LOF K线失败 510500: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
